Header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File Version,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,EW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Visual Task ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birth Date,0000/00/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age,  0y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analyze Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnalyzeMode,Continuous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre Time[s],9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post Time[s],7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery Time[s],12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Time[s],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitting Degree,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPF[Hz],0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPF[Hz],0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moving Average[s],0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,18/11/2016 15:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probe Type,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode,3x5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave[nm],695,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave Length,CH1(703.6),CH1(829.0),CH2(703.9),CH2(829.3),CH3(703.9),CH3(829.3),CH4(703.9),CH4(828.8),CH5(703.6),CH5(829.0),CH6(703.1),CH6(828.8),CH7(703.9),CH7(829.3),CH8(702.9),CH8(829.0),CH9(703.9),CH9(828.8),CH10(703.1),CH10(828.8),CH11(703.1),CH11(828.8),CH12(702.9),CH12(829.0),CH13(702.9),CH13(829.0),CH14(703.6),CH14(829.0),CH15(703.1),CH15(828.8),CH16(703.4),CH16(829.0),CH17(702.9),CH17(829.0),CH18(703.6),CH18(828.5),CH19(703.6),CH19(829.0),CH20(703.4),CH20(829.0),CH21(703.4),CH21(829.0),CH22(703.6),CH22(828.5)
Analog Gain,54.117647,54.117647,54.117647,54.117647,44.705882,44.705882,44.705882,44.705882,149.803922,149.803922,54.117647,54.117647,49.411765,49.411765,44.705882,44.705882,182.745098,182.745098,149.803922,149.803922,49.411765,49.411765,49.411765,49.411765,182.745098,182.745098,149.803922,149.803922,28.235294,28.235294,49.411765,49.411765,138.823529,138.823529,182.745098,182.745098,28.235294,28.235294,28.235294,28.235294,138.823529,138.823529,138.823529,138.823529
Digital Gain,11.69,3.41,10.81,3.18,8.39,2.1,42.43,13.77,17.22,3.29,33.33,5.65,17.99,4.27,19.35,4.27,57.58,9.73,12.14,2.11,31.65,5.64,14.5,3.2,11.67,2.4,58.64,13,85.27,18.81,18.7,5.53,38.47,7.62,20.03,3.84,37.17,9.2,4.42,1.82,11.4,2.87,17.88,4.07
Sampling Period[s],0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StimType,STIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stim Time[s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,15,B,15,C,15,D,15,E,15,F,15,G,15,H,15,I,15,J,15,,,,,,,,,,,,,,,,,,,,,,,,,
Repeat Count,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exception Ch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probe1(Total),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,BodyMovement,RemovalMark,PreScan,,,,,,,,,,,,,,,,,
1,-0.04726281,0.05404381,0.08302817,0.06308731,0.04847526,0.03711255,0.04435739,0.07418403,0.08578704,0.02578763,0.00092631,0.01666166,0.01315473,0.04795942,-0.00400342,0.03500801,0.02614233,0.03083763,0.03718597,0.05384389,0.07139432,0.03539282,0,07:25.8,0,0,0,,,,,,,,,,,,,,,,,
2,-0.04424917,0.0583025,0.09121996,0.06029635,0.0572851,0.03699125,0.04195883,0.07403546,0.09038435,0.03338099,0.00549669,0.02214793,0.01843723,0.05425881,-0.00184003,0.04043864,0.03513958,0.03742621,0.04096004,0.04624476,0.07982974,0.04266404,0,07:25.9,0,0,0,,,,,,,,,,,,,,,,,
3,-0.04138304,0.06239652,0.09959517,0.05715951,0.06588396,0.03633131,0.03883582,0.07346512,0.09496297,0.04109948,0.01004929,0.02776946,0.02378437,0.06066116,0.00013953,0.04582904,0.04426261,0.04406059,0.04487273,0.03815462,0.08829239,0.05006665,0,07:26.0,0,0,0,,,,,,,,,,,,,,,,,
4,-0.03867963,0.06629071,0.10810368,0.05369107,0.07419509,0.03512097,0.0349724,0.07245754,0.09947956,0.04889129,0.01455117,0.03348575,0.02915495,0.06712092,0.0019099,0.05112784,0.05344838,0.05068677,0.04889734,0.02960705,0.096716,0.05754702,0,07:26.0,0,0,0,,,,,,,,,,,,,,,,,
5,-0.03614971,0.06995103,0.11669438,0.04990324,0.08214898,0.0333498,0.03035992,0.07100479,0.10390648,0.05670194,0.01896355,0.03925319,0.03451228,0.07359269,0.00345752,0.05628592,0.06264069,0.05725908,0.0530042,0.02064283,0.10503241,0.06505178,0,07:26.1,0,0,0,,,,,,,,,,,,,,,,,
6,-0.03380468,0.07334654,0.12531018,0.0458177,0.08966544,0.03100932,0.02499878,0.06910259,0.1082058,0.06447411,0.02325228,0.04502795,0.03981645,0.08003577,0.0047573,0.0612505,0.071759,0.06372242,0.05715888,0.01131006,0.11317082,0.07252549,0,07:26.3,0,0,0,,,,,,,,,,,,,,,,,
7,-0.03167791,0.07643007,0.13387682,0.04144032,0.09663683,0.02808228,0.01888434,0.06674261,0.1123181,0.07212027,0.02737308,0.05074875,0.04501723,0.08638758,0.00578486,0.06596053,0.08072072,0.07001998,0.06132162,0.00165786,0.12104125,0.07989328,0,07:26.4,0,0,0,,,,,,,,,,,,,,,,,
8,-0.02976657,0.07918321,0.1423461,0.03680291,0.10301574,0.02458679,0.01204106,0.06393275,0.11621195,0.07959117,0.03129252,0.05636978,0.05007441,0.09259571,0.00652515,0.07036734,0.08946402,0.07610069,0.06545763,-0.00826232,0.12857573,0.08710056,0,07:26.5,0,0,0,,,,,,,,,,,,,,,,,
9,-0.02806222,0.08159301,0.15067074,0.03194216,0.1087663,0.02054729,0.00450495,0.06069,0.1198625,0.08684295,0.03498678,0.06184937,0.05495619,0.09863358,0.00697194,0.07442879,0.0979327,0.08192673,0.06953426,-0.01839403,0.13572462,0.09410094,0,07:26.5,0,0,0,,,,,,,,,,,,,,,,,
10,-0.02656175,0.08364457,0.15879406,0.02688984,0.1138352,0.01599044,-0.00368392,0.05703485,0.12322654,0.09381654,0.0384267,0.06713942,0.05962763,0.1044476,0.00712642,0.07810396,0.10607105,0.08745437,0.07351022,-0.02867691,0.1424233,0.10084048,0,07:26.7,0,0,0,,,,,,,,,,,,,,,,,
11,-0.02525946,0.08533251,0.16666649,0.02168039,0.11818974,0.01095813,-0.01247503,0.05299279,0.12627552,0.10046557,0.04158738,0.07219514,0.06405753,0.11000567,0.0069802,0.08135347,0.11382304,0.09264987,0.07734831,-0.03905018,0.14861955,0.10727308,0,07:26.8,0,0,0,,,,,,,,,,,,,,,,,
